gene	syn	description	protein	fun_desc	essential
tktA	tkt	Transketolase A; binds Zn(II)	"transketolase 1, thiamin-binding"	"Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway"	Y
tktB	None	Transketolase B; binds Zn(II)	"transketolase 2, thiamin-binding"	"Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway"	N
tldD	yhdO	Probable peptidase required for the maturation and secretion of the antibiotic peptide MccB17; involved in CcdA antidote degradation; tolerance for effects on DNA gyrase by sex factor F gene letD	predicted peptidase	Phenotype; Not classified	N
tmcA	ypfI	Elongator methionine tRNA (ac4C34) acetyltransferase; tRNA N(4)-acetylcytidine acetyltransferase	elongator methionine tRNA (ac4C34) acetyltransferase	Enzyme; tRNA modification	N
tmk	ycfG	Thymidylate kinase	thymidylate kinase	Enzyme; 2'-Deoxyribonucleotide metabolism	Y
tnaA	ind	"Tryptophanase, also has cysteine desulfhydrase activity; interconverts tryptophan and indole; also called L-tryptophan indole-lyase"	"tryptophanase/L-cysteine desulfhydrase, PLP-dependent"	Enzyme; Degradation of small molecules: Amino acids	N
tnaB	"tnaP, trpP"	"Tryptophan:H+ symport permease, low affinity"	tryptophan transporter of low affinity	"Transport; Transport of small molecules: Amino acids, amines"	N
tnaC	tnaL	Regulatory leader peptide for tna operon	tryptophanase leader peptide	Leader; Degradation of small molecules: Amino acids	N
tolA	"cim, excC, lky"	"Tolerance to group A colicins, single-stranded filamentous DNA phage; required for OM integrity; membrane protein; bacteriocin tolerant"	membrane anchored protein in TolA-TolQ-TolR complex	Membrane; Colicin-related functions	N
tolB	None	"Uptake of group A colicins, mutants are tolerant to colicins E1-3, A, and K"	periplasmic protein	Factor; Colicin-related functions	N
tolC	"colE1-i, mtcB, mukA, refI, toc, weeA"	Outer membrane factor (OMF) of tripartite efflux pumps; channel-tunnel spanning the outer membrane and periplasm; homotrimeric; ColE1 tolerance	transport channel	Putative membrane; Cell division	N
tolQ	"fii, tolP"	Tolerance to group A colicins and ssDNA filamentous phage; cell envelope integrity; inner membrane protein	membrane spanning protein in TolA-TolQ-TolR complex	Membrane; Colicin-related functions	N
tolR	None	"Colicin import; Tolerance to group A colicins, single-stranded DNA filamentous phage; cell envelope integrity; inner membrane protein;"	membrane spanning protein in TolA-TolQ-TolR complex	Putative transport; Not classified	N
tomB	ybaJ	"Attenuates Hha toxicity, possibly by blocking activation of prophage lytic genes; promotes conjugation and conjugation-induced biofilms; deceases motility in presence of a conjugative plasmid (R1drd19)"	Hha toxicity attenuator; conjugation-related protein	Null	N
tonB	"exbA, T1rec"	"Uptake of chelated Fe(2+) and cyanocobalamin; works in conjunction with OM receptors; energy transducer; sensitivity to T1, phi80, and colicins; forms a complex with ExbB and ExbD"	membrane spanning protein in TonB-ExbB-ExbD transport complex	Membrane; Transport of small molecules: Cations	N
topA	"asuA?, supX"	Topoisomerase I	"DNA topoisomerase I, omega subunit"	"Enzyme; DNA - replication, repair, restriction/modification"	Y
topB	mutR	Topoisomerase III; mutR phenotype is decreased deletion formation between short repeats	DNA topoisomerase III	"Enzyme; DNA - replication, repair, restriction/modification"	N
torA	None	Molybdoprotein trimethylamine N-oxide reductase	"trimethylamine N-oxide (TMAO) reductase I, catalytic subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
torC	None	c-Type cytochrome	"trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit"	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
torD	None	Redox enzyme maturation protein (REMP) for TorA; cytoplasmic chaperone for TorA activation; GTPase; protects TorA TAT signal peptide from degradation	chaperone involved in maturation of TorA subunit of trimethylamine N-oxide reductase system I	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
torI	None	"Inhibitor of TorR response regulator, CPS-53/KpLE1 exisionase; blocks torABC transcription"	response regulator inhibitor for tor operon	Null	N
torR	None	Response regulator for torCAD operon	DNA-binding response regulator in two-component regulatory system with TorS	"Regulator; Energy metabolism, carbon: Anaerobic respiration"	N
torS	yccI	Sensor kinase for torCAD operon	hybrid sensory histidine kinase in two-component regulatory system with TorR	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
torT	yccH	Periplasmic TMAO binding protein; required for ToSrR response to TMAO	periplasmic sensory protein associated with the TorRS two-component regulatory system	"Regulator; Energy metabolism, carbon: Anaerobic respiration"	N
torY	yecK	Cytochrome c homolog required for periplasmic reduction of TMAO by TorZ; respiratory system	"TMAO reductase III (TorYZ), cytochrome c-type subunit"	Putative enzyme; Not classified	N
torZ	bisZ	Periplasmic trimethylamine oxide (TMAO) reductase; also has biotin sulfoxide and DMSO reductase activities; respiratory system	"trimethylamine N-oxide reductase system III, catalytic subunit"	Enzyme; Central intermediary metabolism	N
tpiA	tpi	Triosephosphate isomerase	triosephosphate isomerase	"Enzyme; Energy metabolism, carbon: Glycolysis"	N
tpr	None	"Protamine-like protein, in tyrT primary transcript"	protamine-like protein	"Factor; Basic proteins - synthesis, modification"	N
tpx	yzzJ	"Lipid hydroperoxide peroxidase; thiol peroxidase, antioxidant, thioredoxin-dependent; peroxiredoxin; scavengase P20; induced by acid or base"	lipid hydroperoxide peroxidase	Enzyme; Detoxification	N
tqsA	ydgG	Pheromone AI-2 transporter; mutants have increased intracellular AI-2 and decreased extracellular AI-2; controls biofilm formation	pheromone AI-2 transporter	Putative transport; Not classified	N
treA	osmA	"Trehalase, periplasmic"	periplasmic trehalase	Enzyme; Osmotic adaptation	N
treB	None	Trehalose permease PTS EIIBC component	fused trehalose(maltose)-specific PTS enzyme: IIB component/IIC component	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
treC	"olgH, treE"	"Trehalose-6-phosphate hydrolase, osmoprotectant"	trehalose-6-P hydrolase	Enzyme; Degradation of small molecules: Carbon compounds	N
treF	None	Cytoplasmic trehalase	cytoplasmic trehalase	Enzyme; Degradation of small molecules: Carbon compounds	N
treR	None	Repressor of trehalose operon	DNA-binding transcriptional repressor	Regulator; Osmotic adaptation	N
trg	None	"Ribose, galactose chemoreceptor, methyl-accepting; MCP III; flagellar regulon"	"methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor"	"Regulator; Chemotaxis and mobility|3.1.3.3 regulation; type of regulation; posttranscriptional; inhibition / activation of enzymes|5.3 cell processes; motility (incl. chemotaxis, energytaxis, aerotaxis, redoxtaxis)|6.1 cell structure; membrane|7.3 location of gene products; inner membrane"	N
trkA	sapG(S.t.)	"Major constitutive K+ uptake permeases TrkAG and TrkAH; high-rate, low-affinity transport; peripheral membrane protein bound to inner membrane protein TrkG or TrkH to form active permease; binds NAD+ and NADH"	NAD-binding component of TrK potassium transporter	Transport; Transport of small molecules: Cations	N
trkG	None	"Major constitutive K+ uptake permease TrkAG; high-rate, low-affinity transport; K+-translocating subunit; binds TrkA to inner membrane; Rac prophage"	Rac prophage; potassium transporter subunit	Transport; Transport of small molecules: Cations; Phage or Prophage Related	N
trkH	sapJ(S.t.)	"Major constitutive K+ uptake permease TrkAH; high-rate, low-affinity transport; K+-translocating subunit; binds TrkA to inner membrane"	potassium transporter	Transport; Transport of small molecules: Cations	N
trmA	rumT	"tRNA m(5)U54 methyltransferase, SAM-dependent"	"tRNA m(5)U54 methyltransferase, SAM-dependent"	Enzyme; tRNA modification	N
trmD	None	"tRNA m(1)G37 methyltransferase, SAM-dependent"	"tRNA m(1)G37 methyltransferase, SAM-dependent"	Enzyme; tRNA modification	Y
trmH	spoU	"tRNA mG18 2'-O-methyltransferase, SAM-dependent"	"tRNA mG18-2'-O-methyltransferase, SAM-dependent"	Enzyme; tRNA modification	N
trmI	"trmB?, yggH"	"tRNA m(7)G46 methyltransferase, SAM-dependent; monomeric"	"tRNA m(7)G46 methyltransferase, SAM-dependent"	Enzyme; tRNA modification	N
trmJ	yfhQ	"tRNA mC32,mU32 2'-O-methyltransferase, SAM-dependent; low abundance protein"	"tRNA mC32,mU32 2'-O-methyltransferase, SAM-dependent"	Enzyme; tRNA modification	N
trmL	yibK	"tRNA (Leu) mC34,mU34 2'-O-ribose methyltransferase, SAM-dependent"	"tRNA Leu mC34,mU34 2'-O-methyltransferase, SAM-dependent"	Enzyme; tRNA modification	N
trpA	"try, tryp"	"Tryptophan synthase, alpha subunit"	"tryptophan synthase, alpha subunit"	Enzyme; Amino acid biosynthesis: Tryptophan	N
trpB	None	"Tryptophan synthase, beta subunit"	"tryptophan synthase, beta subunit"	Enzyme; Amino acid biosynthesis: Tryptophan	N
trpC	trpF	"Tryptophan synthesis, bifunctional: N-(5-phosphoribosyl)anthranilate isomerase and indole-3-glycerolphosphate synthase"	fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase	Enzyme; Amino acid biosynthesis: Tryptophan	N
trpD	trpGD	"Anthranilate synthase component II, bifunctional; glutamine amidotransferase and phosphoribosyl anthranilate transferase; tryptophan biosynthesis"	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase	Enzyme; Amino acid biosynthesis: Tryptophan	N
trpE	"anth, tryD, tryp-4"	Anthranilate synthase component I	component I of anthranilate synthase	Enzyme; Amino acid biosynthesis: Tryptophan	N
trpL	trpEE	Regulatory leader peptide for trp operon	trp operon leader peptide	Leader; Amino acid biosynthesis: Tryptophan	N
trpR	None	"Autogenously regulated tryptophan repressor protein; regulator of trp operon, aroH, and other members of the TrpR regulon; 5-Methyltryptophan resistance"	"DNA-binding transcriptional repressor, tryptophan-binding"	Regulator; Amino acid biosynthesis: Tryptophan	N
trpS	None	Tryptophan--tRNA ligase	tryptophanyl-tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
trpT	"su7, su8, su9, supU, supV"	Tryptophan tRNA(CCA)	Null	Null	N
truA	"asuC, hisT, leuK"	tRNA pseudouridine(38-40) synthase; mutations derepress the his operon attenuator	tRNA pseudouridine(38-40) synthase	Enzyme; tRNA modification	N
truB	yhbA	tRNA pseudouridine(55) synthase	tRNA pseudouridine(55) synthase	Enzyme; tRNA modification	N
truC	yqcB	"tRNA(Ile1,Asp) pseudouridine(65) synthase"	"tRNA(Ile1,Asp) pseudouridine(65) synthase"	Enzyme; tRNA modification	N
truD	ygbO	tRNA(Glu) pseudouridine(13) synthase	tRNA(Glu) pseudouridine(13) synthase	Enzyme; tRNA modification	N
trxA	"dasC, fip, fipA, tsnC"	"Thioredoxin 1; Trx; with TrxB, also has general chaperone activity; processivity factor for phage T7 gene 5 DNA polymerase"	thioredoxin 1	"Enzyme; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione"	N
trxB	None	"Thioredoxin reductase, NADP+, FAD-binding; with TrxA, also has general chaperone activity; dimeric"	"thioredoxin reductase, FAD/NAD(P)-binding"	Enzyme; 2'-Deoxyribonucleotide metabolism	N
trxC	yfiG	"Thioredoxin 2, zinc-binding; Trx2"	thioredoxin 2	Putative enzyme; Not classified	N
tsaA	yaeB	"tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent"	"tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent"	Enzyme; tRNA modification	N
tsaB	"rpf(S.t.), yeaZ"	tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; binding partner and protease for TsaD	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; binding partner and protease for TsaD	Enzyme; tRNA modification	N
tsaC	"rimN, yrdC"	tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; threonine-dependent ADP-forming ATPase	"tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein, threonine-dependent ADP-forming ATPase"	Enzyme; tRNA modification	N
tsaD	"gcp, ygjD"	tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; glycation binding protein	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; glycation binding protein	Enzyme; tRNA modification	N
tsaE	yjeE	tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; ADP binding protein	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; ADP binding protein	Enzyme; tRNA modification	N
tsf	None	"EF-Ts, Elongation Factor-Translation, stable; exchanges GDP for GTP in EF-Tu-GDP complex; binds Zn(II); subunit of RNA phage Q beta replicase"	protein chain elongation factor EF-Ts	Factor; Proteins - translation and modification	Y
tsgA	"gutS, yhfC, yhfH"	"Putative transporter, tellurite-inducible, function unknown; also induced by selenite"	predicted transporter	Putative transport; Not classified	N
tsr	cheD	"Serine chemoreceptor, methyl-accepting; MCP I; also senses repellents; flagellar regulon"	"methyl-accepting chemotaxis protein I, serine sensor receptor"	"Regulator; Chemotaxis and mobility|3.1.3.3 regulation; type of regulation; posttranscriptional; inhibition / activation of enzymes|5.3 cell processes; motility (incl. chemotaxis, energytaxis, aerotaxis, redoxtaxis)|6.1 cell structure; membrane|7.3 location of gene products; inner membrane"	N
tsx	"nupA, T6rec"	Outer membrane channel for nucleosides; receptor for phage T6 and colicin K	"nucleoside channel, receptor of phage T6 and colicin K"	"Transport; Transport of small molecules: Nucleosides, purines, pyrimidines"	N
ttcA	"stcA, ydaO"	Required for the formation of 2-thiocytidine s(2)C32 in tRNA	tRNA 2-thiocytidine biosynthesis protein	Putative enzyme; Not classified	N
ttdA	ygjA	L-Tartrate dehydratase alpha subunit	"L-tartrate dehydratase, alpha subunit"	"Enzyme; Energy metabolism, carbon: Fermentation"	N
ttdB	ygjB	L-Tartrate dehydratase beta subunit	"L-tartrate dehydratase, beta subunit"	"Enzyme; Energy metabolism, carbon: Fermentation"	N
ttdR	"dan, ygiP"	"Transcriptional activator of ttdABT, tartrate-inducible; required for tartrate utilization; anaerobiosis nucleoid protein"	transcriptional activator of ttdABT	Putative regulator; Not classified	N
ttdT	"ygjC, ygjE"	L-tartrate/succinate antiporter; needed for L-tatrate uptake and tartrate induction of ttdAB	L-tartrate/succinate antiporte	Null	N
tufA	"kirT, pulT"	"EF-Tu, Elongation Factor-Translation, unstable; GTP-dependent binding of aa-tRNA to the A-site of ribosomes; has intrinsic GTPase activity when bound to kirromycin"	protein chain elongation factor EF-Tu (duplicate of tufB)	Factor; Proteins - translation and modification	Y
tufB	"kirT, pulT"	"EF-Tu, Elongation Factor-Translation, unstable; GTP-dependent binding of aa-tRNA to the A-site of ribosomes; has intrinsic GTPase activity when bound to kirromycin; subunit of RNA phage Q beta replicase"	protein chain elongation factor EF-Tu (duplicate of tufA)	Factor; Proteins - translation and modification	Y
tus	tau	"DNA contrahelicase, terminus utilization substance"	"inhibitor of replication at Ter, DNA-binding protein"	"Factor; DNA - replication, repair, restriction/modification"	N
tusA	"sirA, yhhP"	"Sulfurtransferase, 2-thiolation of mnm(5)s(2)U34-tRNA; motility defect; affects RpoS stability; growth defects suppressed by multicopy ftsZ or dksA"	sulfurtransferase required 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	Null	N
tusB	yheL	2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis; sulfur relay system; required for swarming phenotype	protein required for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	Null	N
tusC	yheM	2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis; sulfur relay system; required for swarming phenotype	protein required for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	Null	N
tusD	yheN	"Sulfurtransferase for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis; sulfur relay system; C78 accepts persulfide sulfur from C19 of TusA, then probably donates to C108 of TusE; required for swarming phenotype"	sulfurtransferase for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	Null	N
tusE	yccK	Sulfurtransferase for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis; binding partner linking TusBCD to MnmA; may transfer sulfur first to MnmA or directly to tRNA	sulfurtransferase required for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	Orf; Not classified	N
tynA	maoA	Copper amine oxidase; tyramine oxidase; Cu(II) and topaquinone cofactors; homodimer	"tyramine oxidase, copper-requiring"	Enzyme; Degradation of small molecules: Amines	N
typA	"bipA, yihK"	"GTPase, regulatory, ribosome-associated"	GTP-binding protein	Putative factor; Not classified	N
tyrA	None	Tyrosine synthesis: chorismate mutase/prephenate dehydrogenase	fused chorismate mutase T/prephenate dehydrogenase	Enzyme; Amino acid biosynthesis: Tyrosine	N
tyrB	None	Tyrosine aminotransferase; aromatic amino acid aminotransferase; phenylalanine aminotransferase; dicarboxylic amino acid aminotransferase; homodimeric	"tyrosine aminotransferase, tyrosine-repressible, PLP-dependent"	Enzyme; Amino acid biosynthesis: Tyrosine	N
tyrP	None	Tyrosine:H+ symport permease	tyrosine transporter	"Transport; Transport of small molecules: Amino acids, amines"	N
tyrR	None	"TyrR regulon repressor or activator; regulates aroF, aroG, tyrA, and aromatic amino acid transport; autoregulation of tyrR not mediated by tyrosine; ATPase activity; zinc-stimulated phosphatase activity"	"DNA-binding transcriptional dual regulator, tyrosine-binding"	"Regulator; Transport of small molecules: Amino acids, amines"	N
tyrS	None	Tyrosine--tRNA ligase	tyrosyl-tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
tyrT	"su(c), Su-3, Su-4, suIII, supC, supFsupO, tyrTalpha"	Tyrosine tRNA(GUA) 1; tandemly duplicated	Null	Null	N
tyrU	"supM, supZ"	Tyrosine tRNA(GUA) 2	Null	Null	N
tyrV	tyrTbeta	Tyrosine tRNA(GUA) 1; tandemly duplicated	Null	Null	N
uacT	ygfU	Uric acid permease	uric acid permease	"Transport; Transport of small molecules: Nucleosides, purines, pyrimidines"	N
ubiA	"cyr, sdgG?"	4-Hydroxybenzoate polyprenyltransferase	p-hydroxybenzoate octaprenyltransferase	"Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone"	N
ubiB	"aarF, yigQ, yigR, yigS"	"Required for octaprenylphenol hydroxylation, the first step of ubiquinone synthesis; regulator of 2'-N-acetyltransferase; member of the ABC1 family of putative protein kinases"	2-octaprenylphenol hydroxylase	Null	N
ubiC	sdgG?	Chorismate--pyruvate lyase	chorismate--pyruvate lyase	"Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone"	N
ubiD	"yigC, yigY"	"3-octaprenyl-4-hydroxybenzoate carboxylyase; ubiquinone biosynthesis, third step; UbiX isozyme"	3-octaprenyl-4-hydroxybenzoate decarboxylase	Null	N
ubiE	"menG(B.stearo.), menH(B.stearo.), yigO"	"Ubiquinone/menaquinone biosynthesis methyltransferase; SAM-dependent; (1) Ubiqinone synthesis, 2-octaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; (2) Menaquinone synthesis, 2-demethylmenaquinone (DMK) methyltransferase"	"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase"	"Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone"	N
ubiF	yleB	"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase; produces 2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol; required for ubiquinone synthesis; mutation confers resistance to bleomycin, phleomycin and heat"	"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol oxygenase"	Null	N
ubiG	"pufX, yfaB"	"SAM:OMHMB methyltransferase; Reactions: 2-octaprenyl-6-hydroxylphenol to 2-octaprenyl-6-methoxyphenol; 2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone to ubiquinone 8"	bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase	"Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone"	N
ubiH	"acd, visB"	"2-octaprenyl-6-methoxyphenol hydroxylase; produces 2-octaprenyl-6-methoxy-1,4-benzoquinone"	"2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding"	"Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone"	N
ubiX	dedF	3-octaprenyl-4-hydroxybenzoate carboxylyase; UbiD isozyme	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	Putative enzyme; Not classified	N
ucpA	yfeF	"Furfural resistance, predicted oxidoreductase, COG1028 family"	"furfural resistance protein, predicted short-chain oxidoreductase"	Putative enzyme; Not classified	N
udk	None	Uridine/cytidine kinase	uridine/cytidine kinase	Enzyme; Central intermediary metabolism: Nucleotide interconversions	N
udp	None	Uridine phosphorylase	uridine phosphorylase	Enzyme; Salvage of nucleosides and nucleotides	N
ugd	"pagA(S.t.), pmrE(S.t.), udg, yefA"	UDP-glucose 6-dehydrogenase	UDP-glucose 6-dehydrogenase	"Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions"	N
ugpA	"psiB, psiC"	"sn-Glycerol-3-phosphate transport system, integral membrane protein"	glycerol-3-phosphate transporter subunit	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
ugpB	"psiB, psiC"	"sn-Glycerol-3-phosphate transport system, periplasmic binding protein"	glycerol-3-phosphate transporter subunit	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
ugpC	None	"sn-Glycerol-3-phosphate transport system, ABC family permease"	glycerol-3-phosphate transporter subunit	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
ugpE	None	sn-Glycerol-3-P transport system; membrane protein	glycerol-3-phosphate transporter subunit	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
ugpQ	None	Glycerophosphodiester phosphodiesterase; cytosolic	"glycerophosphodiester phosphodiesterase, cytosolic"	"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	N
uhpA	None	Response regulator of two component system required for uhpT transcription	DNA-binding response regulator in two-component regulatory system wtih UhpB	"Regulator; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
uhpB	None	Membrane sensor kinase protein controlling UhpA activity	sensory histidine kinase in two-component regulatory sytem with UhpA	"Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
uhpC	None	"Glc6P transporter; membrane sensor recognizing external glucose-6-phosphate (Glc6P) and, in concert with UhpB, inducing uhpT"	membrane protein regulates uhpT expression	"Regulator; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
uhpT	None	Hexose phosphate permease; fosfomycin sensitivity; monomeric	hexose phosphate transporter	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
uidA	"gurA, gusA"	beta-D-Glucuronidase	beta-D-glucuronidase	Enzyme; Degradation of small molecules: Carbon compounds	N
uidB	"gusB, uidP"	"Glucuronide permease, inactive point mutant"	glucuronide transporter	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
uidC	gusC	Enhances UidB-mediated glucuronide transport; putative OM porin	predicted outer membrane porin protein	Membrane; Inner membrane	N
uidR	gusR	Transcriptional repressor for uidABC(gusABC)	DNA-binding transcriptional repressor	Regulator; Degradation of small molecules: Carbon compounds	N
ulaA	"sgaT, yjfS"	Ascorbate-specific PTS system EIIC component; L-ascorbate uptake	L-ascorbate-specific enzyme IIC component of PTS	Null	N
ulaB	"sgaB, yjfT"	Ascorbate-specific PTS system EIIB component; L-ascorbate uptake	L-ascorbate-specific enzyme IIB component of PTS	Null	N
ulaC	"ptxA, sgaA, yjfU"	Ascorbate-specific PTS system EIIA component; L-ascorbate uptake	L-ascorbate-specific enzyme IIA component of PTS	Putative transport; Not classified	N
ulaD	"sgaH, yjfV"	3-keto-L-gulonate-6-phosphate decarboxylase; involved in the utilization of L-ascorbate by anaerobic fermentation; dimeric	3-keto-L-gulonate 6-phosphate decarboxylase	"Putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	N
ulaE	"sgaU, yjfW"	L-xylulose 5-phosphate 3-epimerase; involved in the utilization of L-ascorbate by anaerobic fermentation	L-xylulose 5-phosphate 3-epimerase	"Putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	N
ulaF	"sgaE, yjfX"	L-ribulose 5-phosphate 4-epimerase; involved in the utilization of L-ascorbate by anaerobic fermentation	L-ribulose 5-phosphate 4-epimerase	Putative enzyme; Not classified	N
ulaG	yjfR	"L-ascorbate-6-phosphate lactonase, involved in the utilization of L-ascorbate by anaerobic fermentation; has phosphodiesterase activity"	L-ascorbate 6-phosphate lactonase	Null	N
ulaR	yjfQ	Repressor for the L-ascorbate utilization (ula) divergon	transcriptional tepressor for the L-ascorbate utilization (ula) divergon	Putative regulator; Not classified	N
umuC	uvm	"DNA polymerase V subunit, capable of translesion synthesis; polymerase activity subunit; UV induction of mutations, error-prone repair; forms complex with UmuD and UmuD'; intrinsic AP lyase activity; lexA regulon"	"DNA polymerase V, subunit C"	"Putative enzyme; DNA - replication, repair, restriction/modification"	N
umuD	None	"DNA polymerase V subunit, capable of translesion synthesis; inducible mutagenesis; error-prone repair; UmuDC single-stranded binding protein with RecA-coated DNA; intrinsic AP lyase activity"	"DNA polymerase V, subunit D"	"Putative enzyme; DNA - replication, repair, restriction/modification"	N
ung	None	Uracil-DNA glycosylase; UDG excises uracil from DNA by base flipping mechanism; prefers ssDNA over dsDNA	uracil-DNA-glycosylase	"Enzyme; DNA - replication, repair, restriction/modification"	N
uof	None	RyhB-regulated Fur regulatory leader peptide	ryhB-regulated fur leader peptide	Null	N
upp	uraP	Uracil phosphoribosyltransferase	uracil phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	N
uraA	None	Uracil permease; affects concentration dependence of pyr mutants	uracil permease	"Transport; Transport of small molecules: Nucleosides, purines, pyrimidines"	N
usg	None	"Aspartate-semialdehyde dehydrogenase paralog, function unknown"	predicted semialdehyde dehydrogenase	Putative transport; Not classified	N
ushA	None	"UDP-glucose hydrolase, 5'-nucleotidase, CDP-alcohol hydrolase; also has dinucleoside-polyphosphate hydrolase activity; periplasmic and exported enzyme; monomeric"	bifunctional UDP-sugar hydrolase/5'-nucleotidase	"Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions"	N
uspA	None	Global regulatory gene for stress response; mutants are UV-S	universal stress global response regulator	"Putative regulator; Adaptations, atypical conditions"	N
uspB	yhiO	"Universal stress protein B, confers ethanol resistance in stationary phase; sigma S-regulated gene divergent from uspA"	universal stress (ethanol tolerance) protein B	Null	N
uspC	yecG	Stress-induced protein; UV-resistance	universal stress protein	Putative regulator; Not classified	N
uspD	yiiT	Stress-induced protein; UV-resistance	stress-induced protein	Putative regulator; Not classified	N
uspE	ydaA	Stress-induced protein; UV-resistance; tandem Usp domains	stress-induced protein	Null	N
uspF	"ynaF, yzzL"	"Stress-induced protein, binds ATP; dimer"	"stress-induced protein, ATP-binding protein"	Putative structure; Not classified	N
uspG	"UP12, ybdQ, yzzU"	"Stress protein, induced in stationary phase; native GroEL substrate; heat shock; mutant sensitive to CCCP; dimeric"	universal stress protein UP12	Null	N
uup	"ycbH, ycbI"	DNA-binding ATPase involved in replication; cytosolic; mutant displays an increased frequency of precise excision of transposons and defective growth of bacteriophage Mu	fused predicted transporter subunits of ABC superfamily: ATP-binding components	Putative transport; Not classified	N
uvrA	dar	Excision nuclease subunit A; nucleotide excision repair of UV damage to DNA; LexA regulon; binds Zn(II)	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC	"Enzyme; DNA - replication, repair, restriction/modification"	N
uvrB	"dar-1, dar-6"	"Excision nuclease subunit B, ATPase I and helicase II; repair of UV damage to DNA"	"excinulease of nucleotide excision repair, DNA damage recognition component"	Enzyme; Degradation of DNA	N
uvrC	None	Excision nuclease subunit C; repair of UV damage to DNA; multicopy causes mucoidy	"excinuclease UvrABC, endonuclease subunit"	Enzyme; Degradation of DNA	N
